feature,target,owner,owner_kind,stimulus,directive,detail,status,span_kind,file,line,match_on,arm,nesting,conditions,source,generate
core,ext_fetch_check_pc,ext_fetch_check_pc,function,unclassified,read the guard and decide what arranges it,,covered,F,core/addr_checks.sail,19,,,0,,None(),opcode_sweep.py core/addr_checks.sail
core,ext_handle_fetch_check_error,ext_handle_fetch_check_error,function,unclassified,read the guard and decide what arranges it,,todo,F,core/addr_checks.sail,22,,,0,,(),opcode_sweep.py core/addr_checks.sail
core,ext_control_check_pc,ext_control_check_pc,function,helper_function,"execute an instruction that calls this helper: beqi, bnei, beq, bne, blt, bge, bltu, bgeu, ...",ext_control_check_pc() reached via 8+ instruction(s),covered,F,core/addr_checks.sail,36,,,0,,None(),opcode_sweep.py extensions/Zibi/zibi_insts.sail extensions/I/base_insts.sail extensions/I/jalr_rmem.sail
core,ext_handle_control_check_error,ext_handle_control_check_error,function,unclassified,read the guard and decide what arranges it,,todo,F,core/addr_checks.sail,39,,,0,,(),opcode_sweep.py core/addr_checks.sail
core,ext_data_get_addr,ext_data_get_addr,function,helper_function,"execute an instruction that calls this helper: amoswap, amoadd, amoxor, amoand, amoor, amomin, amomax, amominu, ...",ext_data_get_addr() reached via 8+ instruction(s),covered,F,core/addr_checks.sail,50,,,0,,let addr = Virtaddr(X(base) + offset) in,opcode_sweep.py extensions/A/zaamo_insts.sail extensions/cfi/zicfiss_insts.sail extensions/Zicbop/zicbop_insts.sail
core,ext_handle_data_check_error,ext_handle_data_check_error,function,unclassified,read the guard and decide what arranges it,,todo,F,core/addr_checks.sail,54,,,0,,(),opcode_sweep.py core/addr_checks.sail
core,brev8,brev8,function,helper_function,"execute an instruction that calls this helper: BREV8, VBREV8_V, VGHSH_VV, VGMUL_VV",brev8() reached via 4 instruction(s),todo,F,core/arithmetic.sail,11,,,0,,function brev8(input) = {,opcode_sweep.py extensions/K/zbkb_insts.sail extensions/vector_crypto/zvbb_insts.sail extensions/vector_crypto/zvkg_insts.sail
core,carryless_mul,carryless_mul,function,helper_function,"execute an instruction that calls this helper: CLMUL, CLMULH, VCLMULH_VV, VCLMULH_VX, VCLMUL_VV, VCLMUL_VX",carryless_mul() reached via 6 instruction(s),todo,F,core/arithmetic.sail,20,,,0,,"function carryless_mul(a, b) = {",opcode_sweep.py extensions/B/zbc_insts.sail extensions/vector_crypto/zvbc_insts.sail
core,carryless_mul,carryless_mul,function,helper_function,"execute an instruction that calls this helper: CLMUL, CLMULH, VCLMULH_VV, VCLMULH_VX, VCLMUL_VV, VCLMUL_VX",carryless_mul() reached via 6 instruction(s),todo,B,core/arithmetic.sail,23,,,0,,if   a[i] == 0b1,opcode_sweep.py extensions/B/zbc_insts.sail extensions/vector_crypto/zvbc_insts.sail
core,carryless_mul,carryless_mul,function,helper_function,"execute an instruction that calls this helper: CLMUL, CLMULH, VCLMULH_VV, VCLMULH_VX, VCLMUL_VV, VCLMUL_VX",carryless_mul() reached via 6 instruction(s),todo,T,core/arithmetic.sail,24,,,0,,then result = result ^ (zero_extend(b) << i);,opcode_sweep.py extensions/B/zbc_insts.sail extensions/vector_crypto/zvbc_insts.sail
core,carryless_mul,carryless_mul,function,helper_function,"execute an instruction that calls this helper: CLMUL, CLMULH, VCLMULH_VV, VCLMULH_VX, VCLMUL_VV, VCLMUL_VX",carryless_mul() reached via 6 instruction(s),todo,T,core/arithmetic.sail,24,,,0,,then result = result ^ (zero_extend(b) << i);,opcode_sweep.py extensions/B/zbc_insts.sail extensions/vector_crypto/zvbc_insts.sail
core,carryless_mulr,carryless_mulr,function,helper_function,execute an instruction that calls this helper: CLMULR,carryless_mulr() reached via 1 instruction(s),todo,F,core/arithmetic.sail,31,,,0,,"function carryless_mulr(a, b) = {",opcode_sweep.py extensions/B/zbc_insts.sail
core,carryless_mulr,carryless_mulr,function,helper_function,execute an instruction that calls this helper: CLMULR,carryless_mulr() reached via 1 instruction(s),todo,B,core/arithmetic.sail,34,,,0,,if   a[i] == 0b1,opcode_sweep.py extensions/B/zbc_insts.sail
core,carryless_mulr,carryless_mulr,function,helper_function,execute an instruction that calls this helper: CLMULR,carryless_mulr() reached via 1 instruction(s),todo,T,core/arithmetic.sail,35,,,0,,then result = result ^ (b >> ('n - i - 1));,opcode_sweep.py extensions/B/zbc_insts.sail
core,carryless_mulr,carryless_mulr,function,helper_function,execute an instruction that calls this helper: CLMULR,carryless_mulr() reached via 1 instruction(s),todo,T,core/arithmetic.sail,35,,,0,,then result = result ^ (b >> ('n - i - 1));,opcode_sweep.py extensions/B/zbc_insts.sail
core,mult_to_bits_half,mult_to_bits_half,function,helper_function,"execute an instruction that calls this helper: MUL, vmacc.vv, vnmsac.vv, vmadd.vv, vnmsub.vv, vaaddu.vv, vaadd.vv, vasubu.vv, ...",mult_to_bits_half() reached via 8+ instruction(s),todo,F,core/arithmetic.sail,48,,,0,,"function mult_to_bits_half(l, sign1, sign2, rs1_bits, rs2_bits, result_part) = {",opcode_sweep.py extensions/M/mext_insts.sail extensions/V/vext_arith_insts.sail
core,mult_to_bits_half,mult_to_bits_half,function,helper_function,"execute an instruction that calls this helper: MUL, vmacc.vv, vnmsac.vv, vmadd.vv, vnmsub.vv, vaaddu.vv, vaadd.vv, vasubu.vv, ...",mult_to_bits_half() reached via 8+ instruction(s),todo,B,core/arithmetic.sail,49,,,0,,let rs1_int : int = match sign1 {,opcode_sweep.py extensions/M/mext_insts.sail extensions/V/vext_arith_insts.sail
core,mult_to_bits_half,mult_to_bits_half,function,helper_function,"execute an instruction that calls this helper: MUL, vmacc.vv, vnmsac.vv, vmadd.vv, vnmsub.vv, vaaddu.vv, vaadd.vv, vasubu.vv, ...",mult_to_bits_half() reached via 8+ instruction(s),todo,T,core/arithmetic.sail,50,sign1,Signed,1,let rs1_int : int = match sign1,"Signed   => signed(rs1_bits),",opcode_sweep.py extensions/M/mext_insts.sail extensions/V/vext_arith_insts.sail
core,mult_to_bits_half,mult_to_bits_half,function,helper_function,"execute an instruction that calls this helper: MUL, vmacc.vv, vnmsac.vv, vmadd.vv, vnmsub.vv, vaaddu.vv, vaadd.vv, vasubu.vv, ...",mult_to_bits_half() reached via 8+ instruction(s),todo,T,core/arithmetic.sail,51,sign1,Unsigned,1,let rs1_int : int = match sign1,"Unsigned => unsigned(rs1_bits),",opcode_sweep.py extensions/M/mext_insts.sail extensions/V/vext_arith_insts.sail
core,mult_to_bits_half,mult_to_bits_half,function,helper_function,"execute an instruction that calls this helper: MUL, vmacc.vv, vnmsac.vv, vmadd.vv, vnmsub.vv, vaaddu.vv, vaadd.vv, vasubu.vv, ...",mult_to_bits_half() reached via 8+ instruction(s),todo,B,core/arithmetic.sail,53,,,0,,let rs2_int : int = match sign2 {,opcode_sweep.py extensions/M/mext_insts.sail extensions/V/vext_arith_insts.sail
core,mult_to_bits_half,mult_to_bits_half,function,helper_function,"execute an instruction that calls this helper: MUL, vmacc.vv, vnmsac.vv, vmadd.vv, vnmsub.vv, vaaddu.vv, vaadd.vv, vasubu.vv, ...",mult_to_bits_half() reached via 8+ instruction(s),todo,T,core/arithmetic.sail,54,sign2,Signed,1,let rs2_int : int = match sign2,"Signed   => signed(rs2_bits),",opcode_sweep.py extensions/M/mext_insts.sail extensions/V/vext_arith_insts.sail
core,mult_to_bits_half,mult_to_bits_half,function,helper_function,"execute an instruction that calls this helper: MUL, vmacc.vv, vnmsac.vv, vmadd.vv, vnmsub.vv, vaaddu.vv, vaadd.vv, vasubu.vv, ...",mult_to_bits_half() reached via 8+ instruction(s),todo,T,core/arithmetic.sail,55,sign2,Unsigned,1,let rs2_int : int = match sign2,"Unsigned => unsigned(rs2_bits),",opcode_sweep.py extensions/M/mext_insts.sail extensions/V/vext_arith_insts.sail
core,mult_to_bits_half,mult_to_bits_half,function,helper_function,"execute an instruction that calls this helper: MUL, vmacc.vv, vnmsac.vv, vmadd.vv, vnmsub.vv, vaaddu.vv, vaadd.vv, vasubu.vv, ...",mult_to_bits_half() reached via 8+ instruction(s),todo,B,core/arithmetic.sail,59,,,0,,match result_part {,opcode_sweep.py extensions/M/mext_insts.sail extensions/V/vext_arith_insts.sail
core,mult_to_bits_half,mult_to_bits_half,function,helper_function,"execute an instruction that calls this helper: MUL, vmacc.vv, vnmsac.vv, vmadd.vv, vnmsub.vv, vaaddu.vv, vaadd.vv, vasubu.vv, ...",mult_to_bits_half() reached via 8+ instruction(s),todo,T,core/arithmetic.sail,60,result_part,High,1,match result_part,"High => result_wide[(2 * l - 1) .. l],",opcode_sweep.py extensions/M/mext_insts.sail extensions/V/vext_arith_insts.sail
core,mult_to_bits_half,mult_to_bits_half,function,helper_function,"execute an instruction that calls this helper: MUL, vmacc.vv, vnmsac.vv, vmadd.vv, vnmsub.vv, vaaddu.vv, vaadd.vv, vasubu.vv, ...",mult_to_bits_half() reached via 8+ instruction(s),todo,T,core/arithmetic.sail,61,result_part,Low,1,match result_part,"Low  => result_wide[(l - 1) .. 0],",opcode_sweep.py extensions/M/mext_insts.sail extensions/V/vext_arith_insts.sail
core,rev8,rev8,function,helper_function,"execute an instruction that calls this helper: REV8, VREV8_V, VSM3ME_VV, VSM3C_VI",rev8() reached via 4 instruction(s),todo,F,core/arithmetic.sail,71,,,0,,function rev8(input) = {,opcode_sweep.py extensions/B/zbb_insts.sail extensions/vector_crypto/zvbb_insts.sail extensions/vector_crypto/zvksh_insts.sail
core,count_ones,count_ones,function,helper_function,"execute an instruction that calls this helper: CPOP, CPOPW, VCPOP_M",count_ones() reached via 3 instruction(s),todo,F,core/arithmetic.sail,80,,,0,,function count_ones(x) = {,opcode_sweep.py extensions/B/zbb_insts.sail extensions/V/vext_mask_insts.sail
core,count_ones,count_ones,function,helper_function,"execute an instruction that calls this helper: CPOP, CPOPW, VCPOP_M",count_ones() reached via 3 instruction(s),todo,B,core/arithmetic.sail,83,,,0,,if x[i] == 0b1 then {,opcode_sweep.py extensions/B/zbb_insts.sail extensions/V/vext_mask_insts.sail
core,count_ones,count_ones,function,helper_function,"execute an instruction that calls this helper: CPOP, CPOPW, VCPOP_M",count_ones() reached via 3 instruction(s),todo,T,core/arithmetic.sail,83,,,0,,if x[i] == 0b1 then {,opcode_sweep.py extensions/B/zbb_insts.sail extensions/V/vext_mask_insts.sail
core,count_ones,count_ones,function,helper_function,"execute an instruction that calls this helper: CPOP, CPOPW, VCPOP_M",count_ones() reached via 3 instruction(s),todo,T,core/arithmetic.sail,87,,,0,,},opcode_sweep.py extensions/B/zbb_insts.sail extensions/V/vext_mask_insts.sail
core,fetch_callback,fetch_callback,function,model_callback,"instrumentation hook, not architecture: reached whenever the event it observes occurs",,todo,F,core/callbacks.sail,14,,,0,,function fetch_callback(_) = (),opcode_sweep.py core/callbacks.sail
core,mem_write_callback,mem_write_callback,function,model_callback,"instrumentation hook, not architecture: reached whenever the event it observes occurs",,todo,F,core/callbacks.sail,25,,,0,,"function mem_write_callback(_access_type, _addr, _width, _value) = ()",opcode_sweep.py core/callbacks.sail
core,mem_read_callback,mem_read_callback,function,model_callback,"instrumentation hook, not architecture: reached whenever the event it observes occurs",,todo,F,core/callbacks.sail,28,,,0,,"function mem_read_callback(_access_type, _addr, _width, _value) = ()",opcode_sweep.py core/callbacks.sail
core,mem_exception_callback,mem_exception_callback,function,model_callback,"instrumentation hook, not architecture: reached whenever the event it observes occurs",,todo,F,core/callbacks.sail,31,,,0,,"function mem_exception_callback(_addr, _exc_code) = ()",opcode_sweep.py core/callbacks.sail
core,pc_write_callback,pc_write_callback,function,model_callback,"instrumentation hook, not architecture: reached whenever the event it observes occurs",,todo,F,core/callbacks.sail,37,,,0,,function pc_write_callback(_) = (),opcode_sweep.py core/callbacks.sail
core,xreg_full_write_callback,xreg_full_write_callback,function,model_callback,"instrumentation hook, not architecture: reached whenever the event it observes occurs",,todo,F,core/callbacks.sail,40,,,0,,"function xreg_full_write_callback(_name, _reg, _value) = ()",opcode_sweep.py core/callbacks.sail
core,csr_full_write_callback,csr_full_write_callback,function,model_callback,"instrumentation hook, not architecture: reached whenever the event it observes occurs",,todo,F,core/callbacks.sail,43,,,0,,"function csr_full_write_callback(_name, _csr, _value) = ()",opcode_sweep.py core/callbacks.sail
core,csr_full_read_callback,csr_full_read_callback,function,model_callback,"instrumentation hook, not architecture: reached whenever the event it observes occurs",,todo,F,core/callbacks.sail,46,,,0,,"function csr_full_read_callback(_name, _csr, _value) = ()",opcode_sweep.py core/callbacks.sail
core,redirect_callback,redirect_callback,function,model_callback,"instrumentation hook, not architecture: reached whenever the event it observes occurs",,todo,F,core/callbacks.sail,60,,,0,,function redirect_callback(_) = (),opcode_sweep.py core/callbacks.sail
core,trap_callback,trap_callback,function,model_callback,"instrumentation hook, not architecture: reached whenever the event it observes occurs",,todo,F,core/callbacks.sail,65,,,0,,"function trap_callback(_is_interrupt, _exc_code) = ()",opcode_sweep.py core/callbacks.sail
core,xret_callback,xret_callback,function,model_callback,"instrumentation hook, not architecture: reached whenever the event it observes occurs",,todo,F,core/callbacks.sail,69,,,0,,function xret_callback(_) = (),opcode_sweep.py core/callbacks.sail
core,csr_name_write_callback,csr_name_write_callback,function,model_callback,"instrumentation hook, not architecture: reached whenever the event it observes occurs",,covered,F,core/callbacks.sail,72,,,0,,"function csr_name_write_callback(name : string, value : xlenbits) -> unit = {",opcode_sweep.py core/callbacks.sail
core,csr_id_write_callback,csr_id_write_callback,function,model_callback,"instrumentation hook, not architecture: reached whenever the event it observes occurs",,covered,F,core/callbacks.sail,76,,,0,,"function csr_id_write_callback(csr : csreg, value : xlenbits) -> unit = {",opcode_sweep.py core/callbacks.sail
core,csr_id_read_callback,csr_id_read_callback,function,model_callback,"instrumentation hook, not architecture: reached whenever the event it observes occurs",,covered,F,core/callbacks.sail,84,,,0,,"function csr_id_read_callback(csr : csreg, value : xlenbits) -> unit = {",opcode_sweep.py core/callbacks.sail
core,long_csr_write_callback,long_csr_write_callback,function,model_callback,"instrumentation hook, not architecture: reached whenever the event it observes occurs",,covered,F,core/callbacks.sail,92,,,0,,"function long_csr_write_callback(name : string, name_high : string, value : bits(64)) -> unit = {",opcode_sweep.py core/callbacks.sail
core,long_csr_write_callback,long_csr_write_callback,function,xlen,run this target at the other XLEN,32,covered,B,core/callbacks.sail,94,,,0,,if xlen == 32,opcode_sweep.py core/callbacks.sail
